Gene1,Gene2,Type
G1,G85,1
G1,G3,1
G1,G88,1
G1,G2,1
G1,G77,1
G1,G0,1
G1,G7,1
G1,G53,1
G1,G36,1
G1,G8,1
G1,G6,1
G1,G4,1
G5,G72,1
G5,G27,1
G5,G11,1
G5,G44,1
G5,G75,1
G5,G87,1
G5,G35,1
G5,G57,1
G5,G73,1
G5,G59,1
G5,G0,1
G5,G7,1
G5,G53,1
G5,G36,1
G5,G8,1
G5,G6,1
G5,G4,1
G5,G67,1
G5,G82,1
G5,G29,1
G5,G13,1
G9,G15,1
G9,G28,1
G9,G61,1
G9,G54,1
G9,G45,1
G9,G38,1
G9,G62,1
G9,G41,1
G9,G49,1
G9,G99,1
G9,G93,1
G9,G21,1
G9,G81,1
G9,G11,1
G9,G69,1
G9,G71,1
G9,G14,1
G9,G40,1
G9,G66,1
G9,G34,1
G9,G51,1
G9,G23,1
G9,G84,1
G9,G55,1
G9,G97,1
G9,G58,1
G9,G48,1
G9,G16,1
G9,G96,1
G9,G37,1
G9,G91,1
G9,G68,1
G9,G52,1
G9,G12,1
G9,G65,1
G9,G0,1
G9,G7,1
G9,G53,1
G9,G36,1
G9,G8,1
G9,G6,1
G9,G4,1
G9,G43,1
G9,G78,1
G9,G17,1
G9,G70,1
G9,G10,1
G18,G46,1
G18,G63,1
G18,G47,1
G18,G56,1
G18,G64,1
G18,G39,1
G18,G19,1
G18,G22,1
G18,G74,1
G18,G24,1
G18,G20,1
G18,G33,1
G18,G83,1
G18,G76,1
G18,G60,1
G18,G31,1
G18,G98,1
G18,G50,1
G18,G0,1
G18,G7,1
G18,G53,1
G18,G36,1
G18,G8,1
G18,G6,1
G18,G4,1
G18,G25,1
G18,G32,1
G18,G42,1
G18,G26,1
G18,G30,1
G62,G45,1
G62,G38,1
G62,G41,1
G77,G2,1
G79,G80,1
G79,G72,1
G79,G86,1
G79,G94,1
G79,G89,1
G79,G95,1
G79,G92,1
G79,G63,1
G79,G47,1
G79,G56,1
G79,G64,1
G79,G39,1
G79,G85,1
G79,G83,1
G79,G76,1
G82,G78,1
G90,G99,1
G90,G93,1
G90,G21,1
G90,G81,1
G90,G11,1
G97,G84,1
G97,G55,1
